epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
52,0.001+-0.0,1.37+-0.024,0.693+-0.001,0.981+-0.002,0.693+-0.001,0.616+-0.011,0.687+-0.001
53,0.001+-0.001,1.387+-0.027,0.694+-0.002,0.981+-0.001,0.694+-0.002,0.611+-0.005,0.688+-0.002
54,0.001+-0.0,1.366+-0.026,0.696+-0.005,0.981+-0.001,0.696+-0.005,0.623+-0.007,0.691+-0.005
55,0.001+-0.001,1.401+-0.065,0.69+-0.011,0.98+-0.002,0.69+-0.011,0.601+-0.004,0.684+-0.009
56,0.002+-0.004,1.44+-0.081,0.693+-0.01,0.98+-0.002,0.693+-0.01,0.604+-0.013,0.686+-0.009
57,0.011+-0.018,1.503+-0.23,0.676+-0.033,0.977+-0.004,0.676+-0.033,0.582+-0.026,0.669+-0.033
58,0.005+-0.007,1.503+-0.184,0.689+-0.012,0.98+-0.003,0.689+-0.012,0.591+-0.02,0.682+-0.013
59,0.014+-0.023,1.804+-0.72,0.634+-0.107,0.966+-0.027,0.634+-0.107,0.554+-0.082,0.621+-0.116
60,0.021+-0.035,2.223+-1.413,0.638+-0.099,0.96+-0.038,0.638+-0.099,0.55+-0.091,0.625+-0.108
61,0.021+-0.036,1.871+-0.871,0.621+-0.136,0.97+-0.019,0.621+-0.136,0.56+-0.094,0.618+-0.131
62,0.013+-0.023,1.466+-0.169,0.664+-0.06,0.975+-0.011,0.664+-0.06,0.57+-0.065,0.657+-0.061
63,0.006+-0.01,1.496+-0.164,0.686+-0.025,0.982+-0.001,0.686+-0.025,0.597+-0.019,0.68+-0.024
64,0.008+-0.011,1.527+-0.23,0.675+-0.041,0.974+-0.013,0.675+-0.041,0.579+-0.037,0.669+-0.039
65,0.006+-0.005,1.704+-0.281,0.658+-0.039,0.972+-0.008,0.658+-0.039,0.577+-0.045,0.649+-0.042
66,0.012+-0.012,1.931+-0.602,0.635+-0.073,0.971+-0.009,0.635+-0.073,0.564+-0.038,0.626+-0.07
67,0.012+-0.014,1.664+-0.31,0.66+-0.043,0.974+-0.007,0.66+-0.043,0.575+-0.053,0.651+-0.048
68,0.007+-0.01,1.535+-0.181,0.663+-0.051,0.979+-0.002,0.663+-0.051,0.602+-0.032,0.66+-0.048
69,0.002+-0.003,1.54+-0.226,0.675+-0.032,0.977+-0.003,0.675+-0.032,0.602+-0.02,0.667+-0.036
70,0.002+-0.003,1.484+-0.145,0.676+-0.037,0.981+-0.001,0.676+-0.037,0.609+-0.023,0.67+-0.036
71,0.001+-0.001,1.42+-0.052,0.688+-0.019,0.981+-0.001,0.688+-0.019,0.612+-0.015,0.684+-0.018
72,0.001+-0.001,1.453+-0.042,0.692+-0.009,0.981+-0.001,0.692+-0.009,0.599+-0.006,0.685+-0.007
73,0.001+-0.001,1.441+-0.058,0.696+-0.009,0.98+-0.0,0.696+-0.009,0.617+-0.008,0.69+-0.008
74,0.0+-0.001,1.433+-0.064,0.693+-0.015,0.981+-0.002,0.693+-0.015,0.615+-0.017,0.688+-0.015
75,0.0+-0.001,1.448+-0.096,0.693+-0.02,0.981+-0.001,0.693+-0.02,0.613+-0.022,0.687+-0.02
76,0.001+-0.001,1.459+-0.059,0.692+-0.013,0.98+-0.0,0.692+-0.013,0.606+-0.018,0.686+-0.012
77,0.0+-0.001,1.456+-0.106,0.692+-0.01,0.98+-0.002,0.692+-0.01,0.61+-0.009,0.688+-0.009
78,0.0+-0.001,1.457+-0.07,0.693+-0.011,0.981+-0.002,0.693+-0.011,0.61+-0.004,0.687+-0.009
79,0.001+-0.001,1.438+-0.068,0.694+-0.012,0.981+-0.0,0.694+-0.012,0.614+-0.01,0.69+-0.01
80,0.0+-0.0,1.455+-0.078,0.691+-0.014,0.981+-0.0,0.691+-0.014,0.609+-0.011,0.685+-0.011
81,0.0+-0.0,1.435+-0.054,0.693+-0.012,0.98+-0.002,0.693+-0.012,0.613+-0.01,0.688+-0.01
