epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
56,0.2+-0.053,1.281+-0.18,0.653+-0.018,0.98+-0.001,0.653+-0.018,0.541+-0.048,0.648+-0.016
57,0.149+-0.037,1.312+-0.164,0.641+-0.011,0.982+-0.003,0.641+-0.011,0.524+-0.013,0.638+-0.015
58,0.1+-0.028,1.289+-0.063,0.658+-0.035,0.981+-0.002,0.658+-0.035,0.528+-0.011,0.644+-0.042
59,0.07+-0.017,1.414+-0.038,0.644+-0.028,0.982+-0.002,0.644+-0.028,0.531+-0.013,0.638+-0.026
60,0.062+-0.014,1.33+-0.106,0.671+-0.009,0.981+-0.001,0.671+-0.009,0.541+-0.026,0.663+-0.01
61,0.041+-0.008,1.447+-0.089,0.663+-0.011,0.981+-0.002,0.663+-0.011,0.531+-0.017,0.653+-0.014
62,0.034+-0.025,1.354+-0.113,0.676+-0.011,0.982+-0.002,0.676+-0.011,0.537+-0.009,0.668+-0.009
63,0.021+-0.008,1.419+-0.088,0.69+-0.019,0.983+-0.003,0.69+-0.019,0.563+-0.008,0.682+-0.019
64,0.015+-0.006,1.388+-0.076,0.687+-0.006,0.983+-0.002,0.687+-0.006,0.559+-0.022,0.679+-0.005
65,0.016+-0.004,1.432+-0.093,0.692+-0.017,0.983+-0.001,0.692+-0.017,0.563+-0.009,0.686+-0.017
66,0.009+-0.003,1.47+-0.155,0.68+-0.019,0.983+-0.001,0.68+-0.019,0.565+-0.014,0.673+-0.017
67,0.008+-0.002,1.476+-0.106,0.686+-0.018,0.982+-0.002,0.686+-0.018,0.554+-0.012,0.678+-0.016
68,0.006+-0.001,1.527+-0.137,0.688+-0.014,0.983+-0.002,0.688+-0.014,0.55+-0.02,0.679+-0.007
69,0.005+-0.002,1.571+-0.058,0.687+-0.013,0.982+-0.002,0.687+-0.013,0.548+-0.012,0.677+-0.012
70,0.006+-0.003,1.565+-0.22,0.696+-0.016,0.982+-0.002,0.696+-0.016,0.56+-0.013,0.686+-0.015
71,0.003+-0.002,1.533+-0.137,0.695+-0.008,0.981+-0.002,0.695+-0.008,0.559+-0.007,0.687+-0.008
72,0.003+-0.001,1.507+-0.089,0.697+-0.008,0.982+-0.002,0.697+-0.008,0.561+-0.022,0.688+-0.006
73,0.001+-0.001,1.529+-0.132,0.696+-0.012,0.981+-0.002,0.696+-0.012,0.55+-0.019,0.686+-0.009
74,0.002+-0.001,1.576+-0.121,0.699+-0.007,0.982+-0.002,0.699+-0.007,0.561+-0.013,0.691+-0.006
75,0.004+-0.003,1.672+-0.296,0.688+-0.031,0.982+-0.003,0.688+-0.031,0.56+-0.016,0.682+-0.026
76,0.006+-0.005,1.624+-0.152,0.693+-0.017,0.982+-0.003,0.693+-0.017,0.556+-0.013,0.683+-0.017
77,0.002+-0.001,1.533+-0.059,0.695+-0.018,0.983+-0.003,0.695+-0.018,0.559+-0.01,0.688+-0.017
78,0.001+-0.001,1.571+-0.094,0.696+-0.016,0.982+-0.002,0.696+-0.016,0.559+-0.018,0.688+-0.013
79,0.001+-0.001,1.552+-0.102,0.698+-0.013,0.982+-0.001,0.698+-0.013,0.557+-0.027,0.689+-0.009
80,0.001+-0.001,1.579+-0.075,0.698+-0.015,0.982+-0.002,0.698+-0.015,0.558+-0.012,0.69+-0.014
81,0.001+-0.001,1.679+-0.206,0.695+-0.018,0.982+-0.004,0.695+-0.018,0.552+-0.012,0.684+-0.019
82,0.001+-0.001,1.67+-0.15,0.694+-0.017,0.982+-0.002,0.694+-0.017,0.557+-0.009,0.684+-0.016
83,0.001+-0.001,1.613+-0.126,0.699+-0.015,0.982+-0.002,0.699+-0.015,0.563+-0.006,0.691+-0.014
84,0.0+-0.0,1.597+-0.112,0.7+-0.016,0.983+-0.002,0.7+-0.016,0.563+-0.004,0.692+-0.015
85,0.0+-0.001,1.641+-0.096,0.698+-0.016,0.984+-0.002,0.698+-0.016,0.557+-0.007,0.688+-0.017
86,0.0+-0.001,1.627+-0.124,0.701+-0.015,0.984+-0.003,0.701+-0.015,0.562+-0.003,0.692+-0.015
87,0.0+-0.0,1.609+-0.151,0.702+-0.014,0.984+-0.002,0.702+-0.014,0.558+-0.006,0.692+-0.014
88,0.0+-0.001,1.622+-0.132,0.703+-0.013,0.984+-0.001,0.703+-0.013,0.56+-0.008,0.694+-0.013
89,0.0+-0.0,1.622+-0.134,0.701+-0.016,0.983+-0.002,0.701+-0.016,0.56+-0.008,0.692+-0.015
90,0.0+-0.001,1.63+-0.143,0.702+-0.015,0.982+-0.003,0.702+-0.015,0.565+-0.015,0.693+-0.013
91,0.0+-0.0,1.647+-0.156,0.699+-0.015,0.982+-0.002,0.699+-0.015,0.556+-0.016,0.69+-0.014
92,0.0+-0.0,1.642+-0.129,0.699+-0.015,0.983+-0.002,0.699+-0.015,0.561+-0.011,0.691+-0.013
93,0.0+-0.0,1.662+-0.133,0.701+-0.016,0.983+-0.002,0.701+-0.016,0.56+-0.006,0.692+-0.015
94,0.0+-0.0,1.636+-0.124,0.703+-0.013,0.983+-0.001,0.703+-0.013,0.562+-0.014,0.694+-0.012
95,0.0+-0.0,1.65+-0.159,0.701+-0.016,0.984+-0.001,0.701+-0.016,0.563+-0.01,0.692+-0.015
96,0.0+-0.0,1.652+-0.134,0.703+-0.016,0.983+-0.002,0.703+-0.016,0.563+-0.006,0.695+-0.015
97,0.0+-0.0,1.651+-0.131,0.706+-0.013,0.983+-0.001,0.706+-0.013,0.565+-0.006,0.697+-0.013
98,0.0+-0.0,1.672+-0.118,0.7+-0.014,0.983+-0.001,0.7+-0.014,0.554+-0.019,0.691+-0.012
99,0.0+-0.0,1.641+-0.118,0.702+-0.014,0.983+-0.003,0.702+-0.014,0.562+-0.015,0.694+-0.013
