epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
62,0.598+-0.133,2.441+-0.121,0.504+-0.047,0.967+-0.005,0.504+-0.047,0.459+-0.014,0.497+-0.024
63,0.763+-0.154,2.068+-0.034,0.538+-0.015,0.977+-0.003,0.538+-0.015,0.463+-0.029,0.535+-0.014
64,0.744+-0.093,2.29+-0.185,0.518+-0.033,0.97+-0.007,0.518+-0.033,0.455+-0.033,0.524+-0.027
65,0.616+-0.129,2.221+-0.164,0.53+-0.02,0.978+-0.001,0.53+-0.02,0.487+-0.019,0.533+-0.016
66,0.626+-0.115,2.55+-0.295,0.512+-0.02,0.966+-0.009,0.512+-0.02,0.451+-0.023,0.511+-0.015
67,0.703+-0.173,2.006+-0.27,0.564+-0.032,0.976+-0.002,0.564+-0.032,0.488+-0.037,0.562+-0.03
68,0.705+-0.086,2.768+-0.704,0.487+-0.047,0.94+-0.057,0.487+-0.047,0.425+-0.044,0.49+-0.074
69,0.809+-0.13,2.058+-0.099,0.553+-0.026,0.978+-0.002,0.553+-0.026,0.489+-0.025,0.547+-0.019
70,0.742+-0.191,2.158+-0.313,0.568+-0.01,0.972+-0.008,0.568+-0.01,0.5+-0.02,0.567+-0.002
71,0.657+-0.047,2.449+-0.317,0.51+-0.008,0.97+-0.004,0.51+-0.008,0.461+-0.008,0.523+-0.007
72,0.643+-0.046,2.446+-0.37,0.531+-0.062,0.969+-0.007,0.531+-0.062,0.486+-0.023,0.529+-0.072
73,0.697+-0.109,2.345+-0.551,0.533+-0.073,0.976+-0.003,0.533+-0.073,0.477+-0.03,0.534+-0.066
74,0.647+-0.06,2.283+-0.146,0.524+-0.023,0.972+-0.007,0.524+-0.023,0.462+-0.034,0.526+-0.032
75,0.577+-0.065,2.173+-0.302,0.533+-0.056,0.977+-0.002,0.533+-0.056,0.476+-0.056,0.537+-0.042
76,0.551+-0.02,2.44+-0.389,0.494+-0.048,0.975+-0.008,0.494+-0.048,0.452+-0.016,0.493+-0.072
77,0.581+-0.055,2.216+-0.286,0.532+-0.029,0.973+-0.006,0.532+-0.029,0.485+-0.024,0.524+-0.037
78,0.622+-0.075,2.288+-0.345,0.532+-0.047,0.977+-0.006,0.532+-0.047,0.482+-0.021,0.528+-0.043
79,0.558+-0.121,2.262+-0.379,0.529+-0.035,0.975+-0.004,0.529+-0.035,0.481+-0.014,0.522+-0.034
80,0.569+-0.076,2.174+-0.215,0.534+-0.017,0.977+-0.003,0.534+-0.017,0.483+-0.01,0.524+-0.024
81,0.61+-0.078,2.154+-0.195,0.538+-0.022,0.97+-0.005,0.538+-0.022,0.465+-0.006,0.543+-0.022
82,0.605+-0.039,2.176+-0.214,0.557+-0.005,0.978+-0.004,0.557+-0.005,0.477+-0.031,0.541+-0.022
83,0.536+-0.056,2.209+-0.341,0.545+-0.017,0.976+-0.006,0.545+-0.017,0.484+-0.005,0.533+-0.025
84,0.56+-0.133,2.262+-0.332,0.532+-0.012,0.978+-0.003,0.532+-0.012,0.478+-0.023,0.521+-0.031
85,0.548+-0.095,2.563+-0.551,0.512+-0.032,0.971+-0.007,0.512+-0.032,0.455+-0.015,0.501+-0.074
86,0.629+-0.117,2.262+-0.391,0.542+-0.055,0.972+-0.003,0.542+-0.055,0.465+-0.01,0.533+-0.064
