epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
79,0.038+-0.005,1.077+-0.048,0.658+-0.013,0.981+-0.002,0.658+-0.013,0.561+-0.007,0.655+-0.013
80,0.042+-0.014,1.092+-0.023,0.656+-0.014,0.982+-0.004,0.656+-0.014,0.567+-0.017,0.652+-0.014
81,0.035+-0.006,1.113+-0.047,0.66+-0.014,0.98+-0.004,0.66+-0.014,0.557+-0.006,0.652+-0.016
82,0.041+-0.01,1.11+-0.065,0.651+-0.019,0.982+-0.002,0.651+-0.019,0.561+-0.012,0.65+-0.018
83,0.037+-0.012,1.13+-0.08,0.647+-0.024,0.979+-0.005,0.647+-0.024,0.559+-0.013,0.644+-0.021
84,0.039+-0.003,1.14+-0.105,0.651+-0.026,0.982+-0.006,0.651+-0.026,0.555+-0.031,0.646+-0.025
85,0.036+-0.003,1.107+-0.062,0.66+-0.028,0.982+-0.004,0.66+-0.028,0.557+-0.009,0.656+-0.025
86,0.029+-0.002,1.191+-0.08,0.649+-0.03,0.982+-0.004,0.649+-0.03,0.556+-0.014,0.644+-0.027
87,0.028+-0.002,1.085+-0.063,0.665+-0.019,0.983+-0.003,0.665+-0.019,0.567+-0.011,0.662+-0.019
88,0.031+-0.006,1.118+-0.082,0.656+-0.026,0.981+-0.004,0.656+-0.026,0.564+-0.015,0.653+-0.023
89,0.028+-0.001,1.133+-0.083,0.66+-0.031,0.981+-0.003,0.66+-0.031,0.568+-0.015,0.655+-0.03
90,0.026+-0.005,1.109+-0.047,0.668+-0.018,0.981+-0.003,0.668+-0.018,0.564+-0.007,0.663+-0.017
91,0.023+-0.005,1.209+-0.149,0.643+-0.022,0.982+-0.001,0.643+-0.022,0.555+-0.016,0.64+-0.022
92,0.023+-0.003,1.138+-0.032,0.663+-0.025,0.98+-0.003,0.663+-0.025,0.56+-0.019,0.658+-0.022
93,0.029+-0.011,1.213+-0.097,0.651+-0.028,0.98+-0.003,0.651+-0.028,0.557+-0.016,0.645+-0.028
94,0.025+-0.002,1.183+-0.055,0.65+-0.011,0.981+-0.006,0.65+-0.011,0.553+-0.009,0.645+-0.009
95,0.022+-0.003,1.105+-0.05,0.663+-0.019,0.981+-0.004,0.663+-0.019,0.564+-0.008,0.659+-0.017
96,0.023+-0.004,1.343+-0.285,0.623+-0.031,0.981+-0.002,0.623+-0.031,0.537+-0.016,0.623+-0.026
97,0.021+-0.006,1.208+-0.099,0.651+-0.021,0.98+-0.002,0.651+-0.021,0.553+-0.016,0.646+-0.02
98,0.022+-0.001,1.273+-0.1,0.659+-0.029,0.978+-0.003,0.659+-0.029,0.561+-0.016,0.65+-0.027
99,0.02+-0.002,1.164+-0.045,0.66+-0.02,0.981+-0.004,0.66+-0.02,0.559+-0.015,0.656+-0.019
