0,Artificial,437
1,Annual croplands,3690
2,Greenhouses,123
3,Woody croplands,5979
4,Combinations of croplands and natural vegetation,159
5,Grasslands and Grasslands with trees,2448
6,Shrubland and Shrublands with trees,6383
7,Forests,1237
8,Barelands,702
9,Wetlands,331
