epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
48,0.466+-0.453,38.827+-7.204,0.523+-0.027,0.906+-0.015,0.523+-0.027,0.31+-0.04,0.501+-0.017
49,0.608+-0.323,39.804+-5.42,0.516+-0.033,0.903+-0.007,0.516+-0.033,0.313+-0.031,0.497+-0.025
50,1.034+-0.561,40.076+-5.562,0.515+-0.028,0.903+-0.01,0.515+-0.028,0.315+-0.031,0.499+-0.023
51,0.644+-0.609,39.213+-6.925,0.519+-0.024,0.907+-0.009,0.519+-0.024,0.322+-0.033,0.507+-0.023
52,0.631+-0.47,38.183+-8.901,0.53+-0.019,0.912+-0.015,0.53+-0.019,0.325+-0.029,0.519+-0.021
53,0.308+-0.31,38.313+-10.665,0.532+-0.019,0.912+-0.023,0.532+-0.019,0.323+-0.034,0.521+-0.024
54,0.297+-0.272,39.407+-11.837,0.526+-0.025,0.91+-0.029,0.526+-0.025,0.319+-0.035,0.515+-0.028
55,0.11+-0.124,41.134+-12.545,0.519+-0.039,0.904+-0.033,0.519+-0.039,0.314+-0.038,0.506+-0.041
56,0.526+-0.472,43.389+-12.61,0.517+-0.036,0.895+-0.034,0.517+-0.036,0.307+-0.031,0.499+-0.039
57,0.4+-0.241,45.998+-12.56,0.51+-0.034,0.888+-0.034,0.51+-0.034,0.305+-0.029,0.489+-0.036
58,0.693+-0.069,47.313+-11.801,0.507+-0.027,0.887+-0.032,0.507+-0.027,0.302+-0.022,0.485+-0.027
59,1.417+-1.188,46.615+-10.436,0.514+-0.021,0.893+-0.023,0.514+-0.021,0.304+-0.017,0.492+-0.021
60,0.932+-0.234,44.463+-10.547,0.526+-0.014,0.9+-0.018,0.526+-0.014,0.311+-0.014,0.506+-0.014
61,0.41+-0.203,42.416+-11.112,0.537+-0.012,0.908+-0.015,0.537+-0.012,0.322+-0.017,0.521+-0.011
62,0.888+-0.57,42.205+-11.75,0.538+-0.012,0.912+-0.014,0.538+-0.012,0.325+-0.025,0.525+-0.011
63,0.199+-0.239,43.693+-12.107,0.533+-0.017,0.91+-0.018,0.533+-0.017,0.318+-0.022,0.52+-0.017
64,0.164+-0.083,46.038+-12.703,0.525+-0.024,0.901+-0.02,0.525+-0.024,0.307+-0.022,0.508+-0.019
65,0.529+-0.075,49.223+-13.792,0.513+-0.026,0.89+-0.024,0.513+-0.026,0.296+-0.027,0.493+-0.019
66,0.856+-0.756,51.444+-15.169,0.505+-0.018,0.884+-0.025,0.505+-0.018,0.292+-0.039,0.482+-0.015
67,0.759+-0.086,51.968+-17.091,0.508+-0.003,0.882+-0.03,0.508+-0.003,0.294+-0.046,0.485+-0.022
68,0.568+-0.664,51.478+-18.262,0.515+-0.009,0.882+-0.031,0.515+-0.009,0.3+-0.051,0.493+-0.028
69,0.702+-1.032,50.918+-17.568,0.523+-0.016,0.882+-0.028,0.523+-0.016,0.307+-0.054,0.5+-0.03
70,0.74+-0.598,49.862+-15.131,0.53+-0.012,0.884+-0.02,0.53+-0.012,0.311+-0.049,0.507+-0.017
71,0.43+-0.576,48.859+-11.976,0.537+-0.017,0.885+-0.014,0.537+-0.017,0.315+-0.032,0.513+-0.013
72,0.388+-0.19,48.74+-9.927,0.537+-0.015,0.886+-0.012,0.537+-0.015,0.311+-0.025,0.514+-0.012
73,0.06+-0.102,49.397+-8.495,0.54+-0.018,0.884+-0.009,0.54+-0.018,0.312+-0.025,0.514+-0.019
74,0.06+-0.078,50.536+-8.552,0.535+-0.016,0.88+-0.004,0.535+-0.016,0.309+-0.025,0.507+-0.019
75,0.309+-0.318,52.022+-9.665,0.53+-0.008,0.872+-0.009,0.53+-0.008,0.306+-0.029,0.5+-0.013
76,0.423+-0.409,53.539+-12.156,0.53+-0.008,0.866+-0.017,0.53+-0.008,0.308+-0.033,0.5+-0.01
77,0.36+-0.334,53.965+-14.639,0.527+-0.012,0.865+-0.025,0.527+-0.012,0.311+-0.04,0.498+-0.013
78,0.196+-0.142,54.427+-17.428,0.525+-0.019,0.864+-0.034,0.525+-0.019,0.312+-0.045,0.498+-0.025
79,0.438+-0.388,54.245+-18.423,0.525+-0.021,0.866+-0.038,0.525+-0.021,0.314+-0.048,0.501+-0.031
80,0.811+-1.313,53.79+-18.274,0.522+-0.015,0.867+-0.038,0.522+-0.015,0.314+-0.046,0.5+-0.026
81,0.376+-0.482,53.281+-15.995,0.52+-0.013,0.869+-0.032,0.52+-0.013,0.315+-0.041,0.503+-0.016
82,0.747+-0.961,52.558+-13.097,0.517+-0.02,0.873+-0.022,0.517+-0.02,0.314+-0.032,0.503+-0.009
83,0.766+-0.876,51.767+-10.309,0.518+-0.024,0.88+-0.006,0.518+-0.024,0.313+-0.028,0.505+-0.015
84,0.294+-0.348,51.232+-8.879,0.52+-0.03,0.884+-0.004,0.52+-0.03,0.315+-0.02,0.508+-0.025
85,0.102+-0.104,51.48+-9.199,0.523+-0.023,0.882+-0.003,0.523+-0.023,0.311+-0.019,0.509+-0.019
86,0.387+-0.41,52.517+-10.531,0.519+-0.015,0.882+-0.001,0.519+-0.015,0.307+-0.022,0.506+-0.012
87,0.002+-0.002,54.036+-13.212,0.519+-0.016,0.879+-0.005,0.519+-0.016,0.303+-0.024,0.504+-0.015
88,0.031+-0.054,56.174+-16.401,0.514+-0.023,0.876+-0.012,0.514+-0.023,0.298+-0.028,0.497+-0.03
89,0.379+-0.648,57.526+-18.997,0.513+-0.029,0.873+-0.016,0.513+-0.029,0.295+-0.03,0.494+-0.039
90,0.262+-0.361,58.218+-19.37,0.514+-0.031,0.871+-0.016,0.514+-0.031,0.294+-0.028,0.493+-0.041
91,0.426+-0.719,58.33+-18.252,0.515+-0.028,0.871+-0.013,0.515+-0.028,0.291+-0.022,0.494+-0.037
92,0.178+-0.249,57.501+-15.98,0.52+-0.023,0.875+-0.004,0.52+-0.023,0.293+-0.016,0.498+-0.028
93,0.342+-0.325,57.024+-14.369,0.522+-0.02,0.875+-0.001,0.522+-0.02,0.297+-0.01,0.502+-0.021
94,0.201+-0.317,56.878+-12.453,0.525+-0.016,0.876+-0.002,0.525+-0.016,0.299+-0.011,0.505+-0.014
95,0.102+-0.177,56.52+-11.408,0.527+-0.013,0.878+-0.005,0.527+-0.013,0.298+-0.014,0.507+-0.008
96,0.0+-0.0,56.395+-10.681,0.531+-0.008,0.878+-0.006,0.531+-0.008,0.296+-0.02,0.51+-0.001
97,0.513+-0.635,56.414+-9.917,0.532+-0.002,0.878+-0.008,0.532+-0.002,0.295+-0.027,0.511+-0.009
98,0.175+-0.215,56.789+-9.855,0.536+-0.005,0.878+-0.009,0.536+-0.005,0.295+-0.032,0.514+-0.017
99,0.053+-0.087,57.294+-9.577,0.532+-0.007,0.875+-0.011,0.532+-0.007,0.291+-0.032,0.511+-0.018
