epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
63,0.01+-0.002,0.917+-0.014,0.747+-0.003,0.991+-0.002,0.747+-0.003,0.654+-0.006,0.743+-0.003
64,0.009+-0.001,0.917+-0.011,0.744+-0.007,0.991+-0.001,0.744+-0.007,0.648+-0.009,0.74+-0.006
65,0.008+-0.001,0.934+-0.019,0.744+-0.007,0.99+-0.002,0.744+-0.007,0.658+-0.014,0.74+-0.007
66,0.007+-0.001,0.922+-0.008,0.749+-0.005,0.991+-0.002,0.749+-0.005,0.66+-0.014,0.746+-0.006
67,0.007+-0.001,0.926+-0.003,0.746+-0.008,0.991+-0.002,0.746+-0.008,0.651+-0.017,0.742+-0.009
68,0.005+-0.001,0.931+-0.006,0.75+-0.004,0.991+-0.001,0.75+-0.004,0.657+-0.014,0.746+-0.005
69,0.004+-0.0,0.933+-0.006,0.748+-0.002,0.99+-0.0,0.748+-0.002,0.655+-0.013,0.745+-0.003
70,0.004+-0.0,0.941+-0.001,0.748+-0.004,0.991+-0.002,0.748+-0.004,0.655+-0.012,0.744+-0.004
71,0.004+-0.0,0.947+-0.014,0.747+-0.007,0.991+-0.002,0.747+-0.007,0.654+-0.014,0.743+-0.006
72,0.003+-0.001,0.943+-0.009,0.749+-0.005,0.99+-0.002,0.749+-0.005,0.659+-0.014,0.746+-0.005
73,0.003+-0.001,0.945+-0.003,0.748+-0.007,0.991+-0.002,0.748+-0.007,0.66+-0.012,0.745+-0.007
74,0.003+-0.0,0.953+-0.01,0.75+-0.002,0.991+-0.002,0.75+-0.002,0.657+-0.01,0.746+-0.002
75,0.003+-0.0,0.957+-0.011,0.748+-0.003,0.991+-0.001,0.748+-0.003,0.655+-0.014,0.743+-0.004
76,0.002+-0.001,0.961+-0.007,0.748+-0.008,0.99+-0.002,0.748+-0.008,0.656+-0.017,0.744+-0.008
77,0.003+-0.001,0.962+-0.007,0.748+-0.006,0.991+-0.002,0.748+-0.006,0.661+-0.011,0.744+-0.006
78,0.002+-0.0,0.973+-0.005,0.751+-0.004,0.991+-0.002,0.751+-0.004,0.659+-0.011,0.747+-0.005
79,0.002+-0.0,0.974+-0.006,0.751+-0.004,0.991+-0.001,0.751+-0.004,0.658+-0.012,0.747+-0.004
80,0.002+-0.0,0.974+-0.002,0.749+-0.006,0.991+-0.002,0.749+-0.006,0.661+-0.015,0.746+-0.007
81,0.002+-0.0,0.977+-0.014,0.75+-0.005,0.99+-0.002,0.75+-0.005,0.66+-0.016,0.746+-0.005
82,0.002+-0.0,0.977+-0.012,0.749+-0.004,0.991+-0.002,0.749+-0.004,0.658+-0.012,0.746+-0.005
83,0.002+-0.0,0.98+-0.009,0.751+-0.003,0.991+-0.001,0.751+-0.003,0.659+-0.012,0.747+-0.004
84,0.002+-0.0,0.977+-0.006,0.748+-0.004,0.991+-0.001,0.748+-0.004,0.657+-0.011,0.745+-0.004
85,0.002+-0.0,0.984+-0.002,0.75+-0.003,0.991+-0.001,0.75+-0.003,0.659+-0.013,0.746+-0.003
86,0.002+-0.001,0.985+-0.002,0.751+-0.006,0.991+-0.002,0.751+-0.006,0.658+-0.012,0.747+-0.007
87,0.002+-0.001,0.984+-0.01,0.75+-0.004,0.991+-0.001,0.75+-0.004,0.658+-0.007,0.745+-0.003
88,0.002+-0.0,0.984+-0.006,0.752+-0.005,0.991+-0.002,0.752+-0.005,0.658+-0.012,0.749+-0.005
89,0.002+-0.0,0.991+-0.007,0.75+-0.004,0.991+-0.001,0.75+-0.004,0.662+-0.007,0.746+-0.003
90,0.002+-0.001,0.99+-0.007,0.75+-0.005,0.992+-0.001,0.75+-0.005,0.659+-0.012,0.746+-0.005
91,0.001+-0.0,0.999+-0.011,0.751+-0.004,0.991+-0.001,0.751+-0.004,0.659+-0.01,0.747+-0.004
92,0.001+-0.0,1.0+-0.002,0.75+-0.003,0.991+-0.001,0.75+-0.003,0.66+-0.012,0.746+-0.003
93,0.001+-0.001,0.998+-0.007,0.75+-0.003,0.991+-0.002,0.75+-0.003,0.66+-0.011,0.747+-0.004
94,0.001+-0.0,1.002+-0.007,0.749+-0.004,0.991+-0.001,0.749+-0.004,0.655+-0.013,0.745+-0.004
95,0.001+-0.0,1.0+-0.008,0.749+-0.005,0.991+-0.002,0.749+-0.005,0.659+-0.01,0.746+-0.006
96,0.001+-0.0,1.002+-0.011,0.751+-0.003,0.991+-0.002,0.751+-0.003,0.659+-0.013,0.747+-0.004
97,0.001+-0.0,1.006+-0.014,0.75+-0.004,0.991+-0.002,0.75+-0.004,0.66+-0.012,0.747+-0.004
98,0.001+-0.0,1.008+-0.008,0.748+-0.004,0.991+-0.002,0.748+-0.004,0.66+-0.004,0.745+-0.004
99,0.001+-0.0,1.011+-0.006,0.75+-0.002,0.992+-0.001,0.75+-0.002,0.658+-0.007,0.746+-0.002
