epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
81,1.357+-0.684,2.77+-0.946,0.447+-0.031,0.938+-0.03,0.447+-0.031,0.376+-0.031,0.433+-0.037
82,1.255+-0.345,2.78+-0.55,0.409+-0.039,0.929+-0.033,0.409+-0.039,0.352+-0.011,0.395+-0.02
83,1.302+-0.423,3.066+-1.322,0.421+-0.125,0.937+-0.045,0.421+-0.125,0.361+-0.07,0.4+-0.133
84,1.251+-0.312,2.776+-0.315,0.415+-0.069,0.927+-0.026,0.415+-0.069,0.345+-0.029,0.393+-0.083
85,1.144+-0.457,3.22+-2.039,0.409+-0.173,0.926+-0.065,0.409+-0.173,0.373+-0.08,0.42+-0.163
86,1.131+-0.413,2.275+-0.389,0.461+-0.031,0.954+-0.013,0.461+-0.031,0.402+-0.023,0.468+-0.032
87,0.927+-0.221,2.31+-0.2,0.453+-0.024,0.955+-0.004,0.453+-0.024,0.401+-0.011,0.456+-0.022
88,0.869+-0.236,2.236+-0.171,0.469+-0.021,0.951+-0.003,0.469+-0.021,0.381+-0.014,0.476+-0.015
89,0.848+-0.229,2.418+-0.751,0.462+-0.071,0.958+-0.004,0.462+-0.071,0.4+-0.032,0.474+-0.06
90,0.907+-0.234,2.416+-0.592,0.467+-0.044,0.958+-0.012,0.467+-0.044,0.385+-0.052,0.468+-0.031
91,1.001+-0.255,2.842+-0.711,0.379+-0.062,0.941+-0.009,0.379+-0.062,0.329+-0.041,0.375+-0.059
92,0.992+-0.154,2.716+-0.286,0.425+-0.071,0.944+-0.032,0.425+-0.071,0.358+-0.056,0.408+-0.089
93,0.944+-0.136,2.286+-0.392,0.486+-0.016,0.958+-0.014,0.486+-0.016,0.37+-0.038,0.482+-0.023
94,1.016+-0.154,2.505+-0.395,0.453+-0.061,0.954+-0.009,0.453+-0.061,0.378+-0.025,0.47+-0.042
95,1.182+-0.289,2.87+-0.261,0.434+-0.055,0.941+-0.007,0.434+-0.055,0.347+-0.024,0.411+-0.069
96,1.289+-0.419,3.117+-0.112,0.384+-0.014,0.922+-0.011,0.384+-0.014,0.328+-0.03,0.367+-0.05
97,1.411+-0.515,2.77+-0.25,0.445+-0.022,0.927+-0.029,0.445+-0.022,0.379+-0.031,0.435+-0.022
98,1.215+-0.408,2.511+-0.315,0.483+-0.038,0.965+-0.003,0.483+-0.038,0.399+-0.024,0.455+-0.058
99,1.167+-0.173,2.84+-0.842,0.448+-0.069,0.95+-0.016,0.448+-0.069,0.384+-0.037,0.407+-0.092
