epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
72,0.296+-0.025,1.202+-0.031,0.622+-0.02,0.985+-0.002,0.622+-0.02,0.554+-0.023,0.627+-0.019
73,0.299+-0.009,1.155+-0.04,0.626+-0.02,0.988+-0.003,0.626+-0.02,0.553+-0.028,0.633+-0.016
74,0.307+-0.012,1.168+-0.049,0.629+-0.022,0.985+-0.001,0.629+-0.022,0.552+-0.025,0.632+-0.017
75,0.298+-0.023,1.162+-0.031,0.626+-0.015,0.985+-0.002,0.626+-0.015,0.554+-0.017,0.632+-0.014
76,0.304+-0.017,1.122+-0.047,0.641+-0.019,0.985+-0.002,0.641+-0.019,0.56+-0.026,0.643+-0.017
77,0.291+-0.021,1.169+-0.057,0.627+-0.009,0.986+-0.001,0.627+-0.009,0.558+-0.006,0.632+-0.008
78,0.294+-0.009,1.157+-0.052,0.641+-0.007,0.986+-0.003,0.641+-0.007,0.566+-0.018,0.64+-0.006
79,0.29+-0.016,1.242+-0.1,0.606+-0.031,0.986+-0.001,0.606+-0.031,0.547+-0.031,0.607+-0.031
80,0.292+-0.024,1.197+-0.12,0.621+-0.029,0.986+-0.002,0.621+-0.029,0.558+-0.013,0.626+-0.024
81,0.293+-0.022,1.289+-0.053,0.6+-0.023,0.986+-0.001,0.6+-0.023,0.549+-0.012,0.598+-0.02
82,0.296+-0.005,1.159+-0.015,0.631+-0.005,0.986+-0.002,0.631+-0.005,0.56+-0.015,0.634+-0.008
83,0.311+-0.014,1.155+-0.014,0.639+-0.012,0.986+-0.002,0.639+-0.012,0.557+-0.027,0.64+-0.014
84,0.291+-0.016,1.147+-0.004,0.634+-0.011,0.987+-0.002,0.634+-0.011,0.564+-0.018,0.64+-0.012
85,0.297+-0.011,1.215+-0.111,0.628+-0.033,0.984+-0.003,0.628+-0.033,0.555+-0.034,0.628+-0.035
86,0.291+-0.009,1.194+-0.037,0.625+-0.03,0.985+-0.002,0.625+-0.03,0.555+-0.018,0.627+-0.022
87,0.285+-0.011,1.146+-0.042,0.632+-0.007,0.987+-0.002,0.632+-0.007,0.56+-0.008,0.636+-0.005
88,0.275+-0.012,1.154+-0.076,0.639+-0.022,0.986+-0.002,0.639+-0.022,0.559+-0.021,0.642+-0.02
89,0.289+-0.015,1.155+-0.044,0.638+-0.003,0.987+-0.002,0.638+-0.003,0.561+-0.012,0.641+-0.003
90,0.304+-0.022,1.177+-0.079,0.628+-0.016,0.986+-0.001,0.628+-0.016,0.562+-0.006,0.632+-0.014
91,0.281+-0.012,1.195+-0.094,0.634+-0.028,0.987+-0.001,0.634+-0.028,0.563+-0.019,0.634+-0.027
92,0.294+-0.032,1.196+-0.033,0.624+-0.005,0.986+-0.002,0.624+-0.005,0.556+-0.013,0.628+-0.008
93,0.286+-0.029,1.202+-0.093,0.625+-0.023,0.987+-0.002,0.625+-0.023,0.557+-0.009,0.628+-0.021
94,0.271+-0.018,1.187+-0.094,0.625+-0.01,0.987+-0.001,0.625+-0.01,0.556+-0.006,0.628+-0.01
95,0.286+-0.006,1.245+-0.072,0.609+-0.017,0.984+-0.002,0.609+-0.017,0.544+-0.009,0.612+-0.019
96,0.287+-0.017,1.216+-0.02,0.622+-0.016,0.985+-0.002,0.622+-0.016,0.554+-0.022,0.625+-0.013
97,0.28+-0.011,1.159+-0.026,0.631+-0.016,0.986+-0.001,0.631+-0.016,0.561+-0.019,0.634+-0.015
98,0.28+-0.008,1.212+-0.082,0.619+-0.02,0.986+-0.003,0.619+-0.02,0.543+-0.008,0.621+-0.02
99,0.277+-0.016,1.159+-0.036,0.643+-0.007,0.986+-0.001,0.643+-0.007,0.559+-0.019,0.646+-0.007
