epoch,train_loss,val_loss,rmse,mae
83,0.171+-0.001,0.21+-0.003,0.093+-0.003,0.052+-0.002
84,0.171+-0.001,0.209+-0.002,0.093+-0.004,0.051+-0.002
85,0.171+-0.0,0.209+-0.004,0.092+-0.004,0.051+-0.002
86,0.171+-0.0,0.21+-0.003,0.094+-0.002,0.052+-0.002
87,0.17+-0.001,0.209+-0.004,0.093+-0.004,0.052+-0.003
88,0.17+-0.001,0.208+-0.002,0.093+-0.003,0.051+-0.002
89,0.17+-0.001,0.209+-0.004,0.093+-0.003,0.051+-0.003
90,0.17+-0.0,0.21+-0.005,0.094+-0.005,0.051+-0.002
91,0.17+-0.001,0.209+-0.003,0.094+-0.003,0.052+-0.002
92,0.17+-0.0,0.209+-0.004,0.093+-0.004,0.051+-0.003
93,0.17+-0.0,0.211+-0.003,0.095+-0.004,0.052+-0.002
94,0.17+-0.0,0.208+-0.003,0.093+-0.003,0.051+-0.002
95,0.17+-0.0,0.209+-0.005,0.093+-0.005,0.051+-0.003
96,0.17+-0.0,0.21+-0.002,0.094+-0.002,0.051+-0.002
97,0.17+-0.0,0.209+-0.004,0.093+-0.004,0.052+-0.003
98,0.17+-0.0,0.208+-0.004,0.093+-0.005,0.051+-0.003
99,0.17+-0.001,0.211+-0.006,0.094+-0.006,0.052+-0.003
