Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_6636c_00174,TERMINATED,192.168.7.50:4188,128,0.01,0.99,256,1e-05,-0.9243,12
train_6636c_00161,TERMINATED,192.168.7.50:138064,512,0.001,0.9,128,1e-05,-0.9228,12
train_6636c_00002,TERMINATED,192.168.7.50:144530,512,0.0001,0.99,128,0.0,-0.9142,12
train_6636c_00010,TERMINATED,192.168.7.50:308,256,0.1,0.99,128,0.0,-0.9124,12
train_6636c_00152,TERMINATED,192.168.7.50:130859,512,0.01,0.99,128,1e-05,-0.9088,12
train_6636c_00124,TERMINATED,192.168.7.50:105401,256,0.001,0.99,512,0.0001,-0.9062,12
train_6636c_00008,TERMINATED,192.168.7.50:151250,512,0.01,0.99,128,0.0,-0.9053,12
train_6636c_00000,TERMINATED,192.168.7.50:144240,128,0.0001,0.99,128,0.0,-0.905,12
train_6636c_00179,TERMINATED,192.168.7.50:6950,512,0.1,0.99,256,1e-05,-0.904,12
train_6636c_00066,TERMINATED,192.168.7.50:55338,128,0.01,0.9,512,0.0,-0.9006,4
train_6636c_00210,TERMINATED,192.168.7.50:37798,128,0.01,0.9,512,1e-05,-0.9004,4
train_6636c_00040,TERMINATED,192.168.7.50:31793,256,0.001,0.9,256,0.0,-0.8987,4
train_6636c_00031,TERMINATED,192.168.7.50:24488,256,0.01,0.99,256,0.0,-0.8987,4
train_6636c_00104,TERMINATED,192.168.7.50:89919,512,0.01,0.99,256,0.0001,-0.8983,4
train_6636c_00095,TERMINATED,192.168.7.50:82987,512,0.1,0.9,128,0.0001,-0.8982,4
train_6636c_00160,TERMINATED,192.168.7.50:137541,256,0.001,0.9,128,1e-05,-0.8981,4
train_6636c_00089,TERMINATED,192.168.7.50:74510,512,0.001,0.9,128,0.0001,-0.8981,4
train_6636c_00137,TERMINATED,192.168.7.50:116558,512,0.001,0.9,512,0.0001,-0.8981,4
train_6636c_00203,TERMINATED,192.168.7.50:31054,512,0.1,0.99,512,1e-05,-0.898,4
train_6636c_00202,TERMINATED,192.168.7.50:30623,256,0.1,0.99,512,1e-05,-0.8977,4
train_6636c_00113,TERMINATED,192.168.7.50:95834,512,0.001,0.9,256,0.0001,-0.8972,4
train_6636c_00070,TERMINATED,192.168.7.50:60362,256,0.1,0.9,512,0.0,-0.8948,4
train_6636c_00105,TERMINATED,192.168.7.50:89980,128,0.1,0.99,256,0.0001,-0.8943,4
train_6636c_00142,TERMINATED,192.168.7.50:124480,256,0.1,0.9,512,0.0001,-0.8936,4
train_6636c_00191,TERMINATED,192.168.7.50:20732,512,0.1,0.9,256,1e-05,-0.8934,4
train_6636c_00184,TERMINATED,192.168.7.50:11571,256,0.001,0.9,256,1e-05,-0.8933,4
train_6636c_00069,TERMINATED,192.168.7.50:57901,128,0.1,0.9,512,0.0,-0.892,4
train_6636c_00023,TERMINATED,192.168.7.50:17440,512,0.1,0.9,128,0.0,-0.8917,4
train_6636c_00106,TERMINATED,192.168.7.50:89982,256,0.1,0.99,256,0.0001,-0.891,4
train_6636c_00112,TERMINATED,192.168.7.50:95773,256,0.001,0.9,256,0.0001,-0.8905,4
train_6636c_00208,TERMINATED,192.168.7.50:36254,256,0.001,0.9,512,1e-05,-0.89,4
train_6636c_00176,TERMINATED,192.168.7.50:5013,512,0.01,0.99,256,1e-05,-0.8894,4
train_6636c_00117,TERMINATED,192.168.7.50:97989,128,0.1,0.9,256,0.0001,-0.889,4
train_6636c_00196,TERMINATED,192.168.7.50:26267,256,0.001,0.99,512,1e-05,-0.8885,4
train_6636c_00011,TERMINATED,192.168.7.50:2756,512,0.1,0.99,128,0.0,-0.888,12
train_6636c_00154,TERMINATED,192.168.7.50:132766,256,0.1,0.99,128,1e-05,-0.8874,4
train_6636c_00147,TERMINATED,192.168.7.50:127547,128,0.001,0.99,128,1e-05,-0.8872,4
train_6636c_00178,TERMINATED,192.168.7.50:6360,256,0.1,0.99,256,1e-05,-0.887,4
train_6636c_00173,TERMINATED,192.168.7.50:2328,512,0.001,0.99,256,1e-05,-0.8863,4
train_6636c_00046,TERMINATED,192.168.7.50:40546,256,0.1,0.9,256,0.0,-0.8858,4
train_6636c_00107,TERMINATED,192.168.7.50:90679,512,0.1,0.99,256,0.0001,-0.8857,4
train_6636c_00166,TERMINATED,192.168.7.50:147286,256,0.1,0.9,128,1e-05,-0.8854,4
train_6636c_00130,TERMINATED,192.168.7.50:111625,256,0.1,0.99,512,0.0001,-0.8854,4
train_6636c_00032,TERMINATED,192.168.7.50:24755,512,0.01,0.99,256,0.0,-0.8854,4
train_6636c_00175,TERMINATED,192.168.7.50:4476,256,0.01,0.99,256,1e-05,-0.8851,4
train_6636c_00021,TERMINATED,192.168.7.50:15006,128,0.1,0.9,128,0.0,-0.885,4
train_6636c_00035,TERMINATED,192.168.7.50:27325,512,0.1,0.99,256,0.0,-0.8845,4
train_6636c_00097,TERMINATED,192.168.7.50:85246,256,0.0001,0.99,256,0.0001,-0.8839,4
train_6636c_00045,TERMINATED,192.168.7.50:38425,128,0.1,0.9,256,0.0,-0.8838,4
train_6636c_00034,TERMINATED,192.168.7.50:27070,256,0.1,0.99,256,0.0,-0.8829,4
train_6636c_00075,TERMINATED,192.168.7.50:62820,128,0.001,0.99,128,0.0001,-0.8826,4
train_6636c_00131,TERMINATED,192.168.7.50:113643,512,0.1,0.99,512,0.0001,-0.8821,4
train_6636c_00153,TERMINATED,192.168.7.50:130861,128,0.1,0.99,128,1e-05,-0.8817,4
train_6636c_00079,TERMINATED,192.168.7.50:65575,256,0.01,0.99,128,0.0001,-0.8816,4
train_6636c_00058,TERMINATED,192.168.7.50:48633,256,0.1,0.99,512,0.0,-0.8814,4
train_6636c_00094,TERMINATED,192.168.7.50:80738,256,0.1,0.9,128,0.0001,-0.8804,4
train_6636c_00059,TERMINATED,192.168.7.50:48944,512,0.1,0.99,512,0.0,-0.8799,4
train_6636c_00027,TERMINATED,192.168.7.50:21535,128,0.001,0.99,256,0.0,-0.8797,4
train_6636c_00103,TERMINATED,192.168.7.50:88489,256,0.01,0.99,256,0.0001,-0.8797,4
train_6636c_00026,TERMINATED,192.168.7.50:21477,512,0.0001,0.99,256,0.0,-0.8795,4
train_6636c_00099,TERMINATED,192.168.7.50:85758,128,0.001,0.99,256,0.0001,-0.8794,4
train_6636c_00071,TERMINATED,192.168.7.50:60420,512,0.1,0.9,512,0.0,-0.8788,4
