Trial name,status,loc,hidden_dim,lr,out_dim,weight_decay,loss,training_iteration
train_63b42_00109,TERMINATED,192.168.7.50:132698,256,0.001,256,1e-05,9.6137,4
train_63b42_00132,TERMINATED,192.168.7.50:4738,128,2.26274,512,1e-05,9.6142,12
train_63b42_00096,TERMINATED,192.168.7.50:120319,128,0.01,128,1e-05,9.6151,4
train_63b42_00065,TERMINATED,192.168.7.50:82804,512,0.001,256,0.0001,9.6177,12
train_63b42_00131,TERMINATED,192.168.7.50:4734,512,0.1,512,1e-05,9.6183,4
train_63b42_00022,TERMINATED,192.168.7.50:39363,256,0.01,256,0.0,9.6198,4
train_63b42_00129,TERMINATED,192.168.7.50:2866,128,0.1,512,1e-05,9.6273,4
train_63b42_00078,TERMINATED,192.168.7.50:97910,128,0.001,512,0.0001,9.6334,12
train_63b42_00120,TERMINATED,192.168.7.50:141736,128,0.0001,512,1e-05,9.6349,4
train_63b42_00112,TERMINATED,192.168.7.50:135297,256,0.01,256,1e-05,9.6356,4
train_63b42_00018,TERMINATED,192.168.7.50:35268,128,0.001,256,0.0,9.6375,4
train_63b42_00011,TERMINATED,192.168.7.50:29770,512,0.1,128,0.0,9.638,4
train_63b42_00075,TERMINATED,192.168.7.50:95712,128,0.0001,512,0.0001,9.6424,4
train_63b42_00008,TERMINATED,192.168.7.50:28929,512,0.01,128,0.0,9.6478,4
train_63b42_00098,TERMINATED,192.168.7.50:121174,512,0.01,128,1e-05,9.6536,4
train_63b42_00070,TERMINATED,192.168.7.50:89075,256,0.1,256,0.0001,9.6641,12
train_63b42_00084,TERMINATED,192.168.7.50:105811,128,0.1,512,0.0001,9.6656,12
train_63b42_00116,TERMINATED,192.168.7.50:138687,512,0.1,256,1e-05,9.666,4
train_63b42_00023,TERMINATED,192.168.7.50:40793,512,0.01,256,0.0,9.6729,4
train_63b42_00050,TERMINATED,192.168.7.50:64215,512,0.001,128,0.0001,9.6744,12
train_63b42_00118,TERMINATED,192.168.7.50:139815,256,2.26274,256,1e-05,9.6808,12
train_63b42_00107,TERMINATED,192.168.7.50:131229,512,0.0001,256,1e-05,9.6992,12
train_63b42_00021,TERMINATED,192.168.7.50:37742,128,0.01,256,0.0,9.7052,4
train_63b42_00053,TERMINATED,192.168.7.50:69102,512,0.01,128,0.0001,9.7093,4
train_63b42_00025,TERMINATED,192.168.7.50:41589,256,0.1,256,0.0,9.7105,4
train_63b42_00115,TERMINATED,192.168.7.50:137579,256,0.1,256,1e-05,9.711,4
train_63b42_00047,TERMINATED,192.168.7.50:61430,512,0.0001,128,0.0001,9.7129,12
train_63b42_00032,TERMINATED,192.168.7.50:47177,512,0.0001,512,0.0,9.7159,12
train_63b42_00124,TERMINATED,192.168.7.50:146616,256,0.001,512,1e-05,9.7177,12
train_63b42_00122,TERMINATED,192.168.7.50:145599,512,0.0001,512,1e-05,9.7216,12
train_63b42_00009,TERMINATED,192.168.7.50:29351,128,0.1,128,0.0,9.7218,4
train_63b42_00117,TERMINATED,192.168.7.50:138689,128,2.26274,256,1e-05,9.7228,12
train_63b42_00017,TERMINATED,192.168.7.50:34844,512,0.0001,256,0.0,9.727,12
train_63b42_00024,TERMINATED,192.168.7.50:41539,128,0.1,256,0.0,9.7279,4
train_63b42_00031,TERMINATED,192.168.7.50:46164,256,0.0001,512,0.0,9.7369,12
train_63b42_00035,TERMINATED,192.168.7.50:51482,512,0.001,512,0.0,9.7408,12
train_63b42_00002,TERMINATED,192.168.7.50:22258,512,0.0001,128,0.0,9.7448,12
train_63b42_00125,TERMINATED,192.168.7.50:147476,512,0.001,512,1e-05,9.757,12
