Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_c4c15_00003,TERMINATED,192.168.7.51:185844,128,0.001,0.99,128,0.0,32.2415,4
train_c4c15_00148,TERMINATED,192.168.7.51:153866,256,0.001,0.99,128,1e-05,32.5134,4
train_c4c15_00002,TERMINATED,192.168.7.51:185830,512,0.0001,0.99,128,0.0,33.1335,4
train_c4c15_00091,TERMINATED,192.168.7.51:92106,256,0.01,0.9,128,0.0001,35.099,4
train_c4c15_00147,TERMINATED,192.168.7.51:151430,128,0.001,0.99,128,1e-05,37.8491,4
train_c4c15_00004,TERMINATED,192.168.7.51:2660,256,0.001,0.99,128,0.0,38.4995,4
train_c4c15_00040,TERMINATED,192.168.7.51:38001,256,0.001,0.9,256,0.0,40.9407,4
train_c4c15_00184,TERMINATED,192.168.7.51:15855,256,0.001,0.9,256,1e-05,42.1956,4
train_c4c15_00113,TERMINATED,192.168.7.51:119911,512,0.001,0.9,256,0.0001,44.9952,4
train_c4c15_00076,TERMINATED,192.168.7.51:74145,256,0.001,0.99,128,0.0001,45.0855,4
train_c4c15_00039,TERMINATED,192.168.7.51:37993,128,0.001,0.9,256,0.0,45.2705,4
train_c4c15_00111,TERMINATED,192.168.7.51:117128,128,0.001,0.9,256,0.0001,45.7205,4
train_c4c15_00116,TERMINATED,192.168.7.51:124017,512,0.01,0.9,256,0.0001,46.4702,4
train_c4c15_00183,TERMINATED,192.168.7.51:13078,128,0.001,0.9,256,1e-05,46.9877,4
train_c4c15_00041,TERMINATED,192.168.7.51:39104,512,0.001,0.9,256,0.0,47.2437,4
train_c4c15_00005,TERMINATED,192.168.7.51:2738,512,0.001,0.99,128,0.0,47.6554,4
train_c4c15_00185,TERMINATED,192.168.7.51:18672,512,0.001,0.9,256,1e-05,48.905,4
train_c4c15_00082,TERMINATED,192.168.7.51:80260,256,0.1,0.99,128,0.0001,49.1132,4
train_c4c15_00112,TERMINATED,192.168.7.51:118139,256,0.001,0.9,256,0.0001,49.568,4
train_c4c15_00007,TERMINATED,192.168.7.51:5236,256,0.01,0.99,128,0.0,50.5858,4
train_c4c15_00044,TERMINATED,192.168.7.51:41707,512,0.01,0.9,256,0.0,50.8395,4
train_c4c15_00001,TERMINATED,192.168.7.51:185828,256,0.0001,0.99,128,0.0,50.9539,4
