Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_c14a6_00186,TERMINATED,192.168.7.51:86788,128,0.01,0.9,256,1e-05,6.85,12
train_c14a6_00116,TERMINATED,192.168.7.51:188289,512,0.01,0.9,256,0.0001,6.8611,12
train_c14a6_00188,TERMINATED,192.168.7.51:92429,512,0.01,0.9,256,1e-05,6.866,12
train_c14a6_00187,TERMINATED,192.168.7.51:89030,256,0.01,0.9,256,1e-05,6.8741,12
train_c14a6_00115,TERMINATED,192.168.7.51:187836,256,0.01,0.9,256,0.0001,6.8775,12
train_c14a6_00212,TERMINATED,192.168.7.51:119781,512,0.01,0.9,512,1e-05,6.8783,12
train_c14a6_00043,TERMINATED,192.168.7.51:101333,256,0.01,0.9,256,0.0,6.8834,12
train_c14a6_00140,TERMINATED,192.168.7.51:30204,512,0.01,0.9,512,0.0001,6.8865,12
train_c14a6_00138,TERMINATED,192.168.7.51:22528,128,0.01,0.9,512,0.0001,6.8905,12
train_c14a6_00164,TERMINATED,192.168.7.51:62554,512,0.01,0.9,128,1e-05,6.8944,12
train_c14a6_00092,TERMINATED,192.168.7.51:160755,512,0.01,0.9,128,0.0001,6.8954,12
train_c14a6_00067,TERMINATED,192.168.7.51:125563,256,0.01,0.9,512,0.0,6.8971,12
train_c14a6_00068,TERMINATED,192.168.7.51:125565,512,0.01,0.9,512,0.0,6.899,12
train_c14a6_00042,TERMINATED,192.168.7.51:97152,128,0.01,0.9,256,0.0,6.8997,12
train_c14a6_00044,TERMINATED,192.168.7.51:103179,512,0.01,0.9,256,0.0,6.9016,12
train_c14a6_00163,TERMINATED,192.168.7.51:61083,256,0.01,0.9,128,1e-05,6.9016,12
train_c14a6_00066,TERMINATED,192.168.7.51:125491,128,0.01,0.9,512,0.0,6.903,12
train_c14a6_00114,TERMINATED,192.168.7.51:183606,128,0.01,0.9,256,0.0001,6.9048,12
train_c14a6_00019,TERMINATED,192.168.7.51:72815,256,0.01,0.9,128,0.0,6.9067,12
train_c14a6_00090,TERMINATED,192.168.7.51:152197,128,0.01,0.9,128,0.0001,6.9106,12
train_c14a6_00018,TERMINATED,192.168.7.51:68784,128,0.01,0.9,128,0.0,6.9117,12
train_c14a6_00162,TERMINATED,192.168.7.51:55961,128,0.01,0.9,128,1e-05,6.915,12
train_c14a6_00210,TERMINATED,192.168.7.51:118174,128,0.01,0.9,512,1e-05,6.9165,12
train_c14a6_00139,TERMINATED,192.168.7.51:24416,256,0.01,0.9,512,0.0001,6.9167,12
train_c14a6_00020,TERMINATED,192.168.7.51:75084,512,0.01,0.9,128,0.0,6.9212,12
train_c14a6_00143,TERMINATED,192.168.7.51:31829,512,0.1,0.9,512,0.0001,6.9242,12
train_c14a6_00091,TERMINATED,192.168.7.51:158471,256,0.01,0.9,128,0.0001,6.9256,12
train_c14a6_00071,TERMINATED,192.168.7.51:133460,512,0.1,0.9,512,0.0,6.9263,12
train_c14a6_00191,TERMINATED,192.168.7.51:96980,512,0.1,0.9,256,1e-05,6.937,12
train_c14a6_00211,TERMINATED,192.168.7.51:118771,256,0.01,0.9,512,1e-05,6.94,12
train_c14a6_00215,TERMINATED,192.168.7.51:127335,512,0.1,0.9,512,1e-05,6.942,12
train_c14a6_00141,TERMINATED,192.168.7.51:30612,128,0.1,0.9,512,0.0001,6.9472,12
train_c14a6_00214,TERMINATED,192.168.7.51:125908,256,0.1,0.9,512,1e-05,6.9475,12
train_c14a6_00015,TERMINATED,192.168.7.51:65780,128,0.001,0.9,128,0.0,6.948,12
train_c14a6_00119,TERMINATED,192.168.7.51:4074,512,0.1,0.9,256,0.0001,6.9481,12
train_c14a6_00087,TERMINATED,192.168.7.51:150588,128,0.001,0.9,128,0.0001,6.9484,12
train_c14a6_00040,TERMINATED,192.168.7.51:96052,256,0.001,0.9,256,0.0,6.9553,12
train_c14a6_00069,TERMINATED,192.168.7.51:131834,128,0.1,0.9,512,0.0,6.9608,12
train_c14a6_00111,TERMINATED,192.168.7.51:179771,128,0.001,0.9,256,0.0001,6.9628,12
train_c14a6_00183,TERMINATED,192.168.7.51:83167,128,0.001,0.9,256,1e-05,6.9638,12
train_c14a6_00094,TERMINATED,192.168.7.51:161267,256,0.1,0.9,128,0.0001,6.9646,12
train_c14a6_00165,TERMINATED,192.168.7.51:63389,128,0.1,0.9,128,1e-05,6.9647,12
train_c14a6_00166,TERMINATED,192.168.7.51:64005,256,0.1,0.9,128,1e-05,6.9672,12
train_c14a6_00021,TERMINATED,192.168.7.51:75506,128,0.1,0.9,128,0.0,6.9675,12
train_c14a6_00190,TERMINATED,192.168.7.51:94774,256,0.1,0.9,256,1e-05,6.9695,12
train_c14a6_00088,TERMINATED,192.168.7.51:152086,256,0.001,0.9,128,0.0001,6.972,12
train_c14a6_00017,TERMINATED,192.168.7.51:68385,512,0.001,0.9,128,0.0,6.9725,12
train_c14a6_00089,TERMINATED,192.168.7.51:152159,512,0.001,0.9,128,0.0001,6.9735,12
train_c14a6_00209,TERMINATED,192.168.7.51:116767,512,0.001,0.9,512,1e-05,6.9884,12
train_c14a6_00137,TERMINATED,192.168.7.51:22520,512,0.001,0.9,512,0.0001,6.9922,12
train_c14a6_00113,TERMINATED,192.168.7.51:181405,512,0.001,0.9,256,0.0001,6.9925,12
train_c14a6_00047,TERMINATED,192.168.7.51:106581,512,0.1,0.9,256,0.0,6.9934,12
train_c14a6_00039,TERMINATED,192.168.7.51:94195,128,0.001,0.9,256,0.0,6.9935,12
train_c14a6_00041,TERMINATED,192.168.7.51:96141,512,0.001,0.9,256,0.0,6.9978,12
train_c14a6_00159,TERMINATED,192.168.7.51:51766,128,0.001,0.9,128,1e-05,7.0041,12
train_c14a6_00065,TERMINATED,192.168.7.51:123634,512,0.001,0.9,512,0.0,7.0047,12
train_c14a6_00160,TERMINATED,192.168.7.51:55163,256,0.001,0.9,128,1e-05,7.0062,12
train_c14a6_00161,TERMINATED,192.168.7.51:55566,512,0.001,0.9,128,1e-05,7.0085,12
train_c14a6_00136,TERMINATED,192.168.7.51:22447,256,0.001,0.9,512,0.0001,7.0092,12
train_c14a6_00112,TERMINATED,192.168.7.51:180577,256,0.001,0.9,256,0.0001,7.0113,12
train_c14a6_00184,TERMINATED,192.168.7.51:85392,256,0.001,0.9,256,1e-05,7.0129,12
train_c14a6_00016,TERMINATED,192.168.7.51:67955,256,0.001,0.9,128,0.0,7.0318,12
train_c14a6_00074,TERMINATED,192.168.7.51:136822,512,0.0001,0.99,128,0.0001,7.0453,12
train_c14a6_00145,TERMINATED,192.168.7.51:36416,256,0.0001,0.99,128,1e-05,7.0475,12
train_c14a6_00002,TERMINATED,192.168.7.51:51839,512,0.0001,0.99,128,0.0,7.0539,12
train_c14a6_00026,TERMINATED,192.168.7.51:82809,512,0.0001,0.99,256,0.0,7.0572,12
train_c14a6_00193,TERMINATED,192.168.7.51:100098,256,0.0001,0.99,512,1e-05,7.0691,12
train_c14a6_00000,TERMINATED,192.168.7.51:51363,128,0.0001,0.99,128,0.0,7.0699,12
train_c14a6_00208,TERMINATED,192.168.7.51:116302,256,0.001,0.9,512,1e-05,7.3841,4
train_c14a6_00196,TERMINATED,192.168.7.51:104368,256,0.001,0.99,512,1e-05,7.386,4
train_c14a6_00167,TERMINATED,192.168.7.51:68621,512,0.1,0.9,128,1e-05,7.3956,4
train_c14a6_00185,TERMINATED,192.168.7.51:85460,512,0.001,0.9,256,1e-05,7.3988,4
train_c14a6_00050,TERMINATED,192.168.7.51:110017,512,0.0001,0.99,512,0.0,7.399,4
train_c14a6_00045,TERMINATED,192.168.7.51:103183,128,0.1,0.9,256,0.0,7.3996,4
