epoch,train_loss,val_loss,rmse,mae
83,0.168+-0.0,0.2+-0.0,0.084+-0.001,0.045+-0.001
84,0.168+-0.001,0.2+-0.003,0.085+-0.003,0.047+-0.003
85,0.169+-0.001,0.199+-0.002,0.085+-0.003,0.046+-0.001
86,0.168+-0.001,0.2+-0.003,0.084+-0.002,0.046+-0.002
87,0.168+-0.001,0.198+-0.001,0.082+-0.001,0.045+-0.001
88,0.168+-0.001,0.199+-0.002,0.084+-0.002,0.046+-0.001
89,0.168+-0.001,0.2+-0.002,0.085+-0.003,0.046+-0.002
90,0.168+-0.001,0.2+-0.003,0.087+-0.004,0.047+-0.003
91,0.168+-0.001,0.199+-0.001,0.083+-0.002,0.045+-0.001
92,0.168+-0.001,0.199+-0.002,0.084+-0.003,0.046+-0.002
93,0.168+-0.001,0.198+-0.001,0.082+-0.001,0.045+-0.0
94,0.168+-0.001,0.199+-0.001,0.085+-0.001,0.046+-0.001
95,0.168+-0.001,0.199+-0.002,0.084+-0.002,0.046+-0.002
96,0.167+-0.001,0.199+-0.001,0.083+-0.001,0.045+-0.001
97,0.167+-0.001,0.199+-0.001,0.083+-0.001,0.045+-0.001
98,0.168+-0.001,0.198+-0.001,0.082+-0.001,0.045+-0.0
99,0.167+-0.001,0.2+-0.001,0.084+-0.001,0.046+-0.001
