epoch,train_loss,val_loss,rmse,mae
83,0.169+-0.001,0.198+-0.001,0.084+-0.001,0.046+-0.001
84,0.169+-0.001,0.199+-0.001,0.084+-0.001,0.045+-0.001
85,0.169+-0.001,0.199+-0.0,0.084+-0.002,0.046+-0.001
86,0.169+-0.001,0.199+-0.002,0.084+-0.002,0.046+-0.001
87,0.169+-0.001,0.198+-0.001,0.083+-0.001,0.045+-0.001
88,0.169+-0.001,0.2+-0.001,0.085+-0.002,0.046+-0.001
89,0.168+-0.001,0.198+-0.001,0.083+-0.001,0.045+-0.001
90,0.168+-0.001,0.199+-0.001,0.084+-0.002,0.046+-0.001
91,0.169+-0.001,0.199+-0.001,0.084+-0.002,0.046+-0.001
92,0.168+-0.001,0.199+-0.002,0.084+-0.002,0.046+-0.001
93,0.169+-0.001,0.199+-0.001,0.083+-0.002,0.045+-0.001
94,0.169+-0.001,0.199+-0.001,0.084+-0.003,0.045+-0.002
95,0.168+-0.001,0.2+-0.002,0.084+-0.001,0.045+-0.001
96,0.169+-0.001,0.2+-0.001,0.085+-0.002,0.046+-0.001
97,0.169+-0.001,0.199+-0.001,0.083+-0.0,0.045+-0.0
98,0.168+-0.001,0.199+-0.002,0.085+-0.004,0.047+-0.003
99,0.168+-0.001,0.199+-0.001,0.084+-0.001,0.046+-0.001
