epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
73,0.0+-0.001,1.415+-0.134,0.626+-0.01,0.968+-0.008,0.626+-0.01,0.378+-0.046,0.598+-0.01
74,0.001+-0.001,1.428+-0.131,0.625+-0.012,0.968+-0.009,0.625+-0.012,0.376+-0.039,0.596+-0.013
75,0.0+-0.001,1.429+-0.132,0.625+-0.01,0.968+-0.008,0.625+-0.01,0.373+-0.045,0.597+-0.01
76,0.001+-0.001,1.417+-0.132,0.625+-0.008,0.967+-0.009,0.625+-0.008,0.378+-0.046,0.598+-0.008
77,0.0+-0.001,1.414+-0.141,0.626+-0.008,0.967+-0.008,0.626+-0.008,0.377+-0.047,0.598+-0.006
78,0.001+-0.001,1.43+-0.148,0.622+-0.009,0.967+-0.008,0.622+-0.009,0.373+-0.044,0.594+-0.008
79,0.0+-0.0,1.429+-0.161,0.623+-0.009,0.967+-0.008,0.623+-0.009,0.375+-0.053,0.595+-0.005
80,0.0+-0.001,1.429+-0.167,0.623+-0.009,0.968+-0.008,0.623+-0.009,0.374+-0.054,0.595+-0.006
81,0.0+-0.0,1.429+-0.155,0.626+-0.007,0.967+-0.008,0.626+-0.007,0.378+-0.047,0.6+-0.005
82,0.0+-0.0,1.424+-0.154,0.625+-0.005,0.966+-0.01,0.625+-0.005,0.38+-0.045,0.599+-0.005
83,0.001+-0.0,1.433+-0.168,0.622+-0.007,0.967+-0.009,0.622+-0.007,0.378+-0.045,0.595+-0.004
84,0.0+-0.0,1.414+-0.159,0.623+-0.007,0.966+-0.009,0.623+-0.007,0.381+-0.044,0.597+-0.006
85,0.001+-0.001,1.41+-0.163,0.625+-0.008,0.967+-0.01,0.625+-0.008,0.379+-0.044,0.599+-0.006
86,0.0+-0.001,1.411+-0.188,0.624+-0.01,0.967+-0.009,0.624+-0.01,0.374+-0.045,0.598+-0.007
87,0.0+-0.0,1.413+-0.178,0.625+-0.01,0.968+-0.009,0.625+-0.01,0.377+-0.048,0.598+-0.006
